Nombre,Link
"Índice de volumen encadenado del PIB (variaciones reales)","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/b6ab4637-57c1-4545-9e75-ddb8f369f5ad"
"PIB a precios corrientes","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/63d9bb29-a02f-4aaa-b984-76878b42c047"
"Índice de precios de consumo (IPC). General","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/13cb60cd-ee53-425b-976c-bff4b5f90dbd"
"Índice de precios de consumo (IPC). Subyacente","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/449b5f9f-f3d4-4488-b055-a2da1baab6c6"
"Empresas inscritas en la Seguridad Social","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/96b38c35-102f-4c01-89a5-5f168e5f32ed"
"Sociedades mercantiles. Creadas","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/50870e92-60e5-4826-a8b5-780ea0eba9c0"
"Sociedades mercantiles. Creadas. Capital suscrito","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/032d3b96-ea75-4698-ab8f-b0c14714274a"
"Sociedades mercantiles. Amplian capital","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/740cbb62-0a63-4b35-ab0c-3ad5bb30a4ba"
"Sociedades mercantiles. Amplian capital. Capital suscrito","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/b9af89f7-325c-400b-b7b7-adaeeb17de5d"
"Población activa","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/de08fee8-119c-4e0c-8157-85b80bc1cf63"
"Tasa de actividad","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/f1947d67-f231-42dd-8ecb-face159d48e0"
"Población ocupada","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/5554f6a8-ba0e-481d-9a1c-38f0a0d2dbfc"
"Tasa de empleo","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/78ff1d4f-c404-4702-bc79-ddb89a2c9bd7"
"Población parada","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/e7362a12-22db-4981-bc81-7bbec2392921"
"Población inactiva","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/a0564c4d-aad3-4cdc-8745-8f6d6e542409"
"Tasa de paro","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/cba7db9f-8dcb-42da-b03a-006a20a735ae"
"Afiliaciones a la Seguridad Social","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/ce84dda7-1486-419f-adb6-fbe89e65fc15"
"Afiliaciones a la Seguridad Social. Empleos asalariados","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/47b7c0c0-100d-497a-b4a6-595096543566"
"Afiliaciones a la Seguridad Social. Empleos autónomos","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/6d536dba-5ad4-4c8f-9ae3-d6290ae21fb9"
"Paro registrado","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/af4d0dd8-ae07-4938-82c3-582146a0fe2f"
"Accidentes de trabajo con baja","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/4257778c-a75a-4d04-a9df-b2f0c1263bde"
"Accidentes de trabajo con baja. Jornadas no trabajadas","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/124d238a-36ad-4c89-8e29-97241bee94bb"
"Coste laboral. Por trabajador y mes","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/14ea8f45-dfd2-46fe-9506-3f8738aaa748"
"Coste laboral. Por hora efectiva de trabajo","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/bd24d2c0-f847-4d90-bdf1-a10542f3b7b6"
"Afiliaciones a la Seguridad Social. Agricultura","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/fdc2dfe6-ee5c-40f0-afa7-3f610e75c6cb"
"Empleo registrado. Agricultura","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/7db24e42-fda2-4775-bc27-f5a6d885c38d"
"Empresas inscritas en la Seguridad Social. Agricultura","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/25b160a8-641b-47a7-84a9-fe5dc1aacd55"
"Superficie cultivada","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/47c2374f-b2af-43c3-af75-b8efe767c7d1"
"Superficie cultivada. Regadío","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/60699558-787b-4f8b-9878-239d7e0c8937"
"Superficie cultivada. Secano","https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicatorsSystems/C00075A/indicatorsInstances/002af139-b970-48f3-a249-8c17876c3f1a"
